,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1716,2019.12.16_13.34.42,-8.394601,51.886139,5G,-100,-15,0.0,8,-83,0,0,I
1717,2019.12.16_13.34.43,-8.394601,51.886139,5G,-100,-13,-4.0,10,-87,0,0,I
1718,2019.12.16_13.34.45,-8.394601,51.886139,5G,-100,-13,-4.0,10,-87,0,0,I
1719,2019.12.16_13.34.46,-8.394601,51.886139,5G,-100,-16,0.0,10,-87,0,0,I
1720,2019.12.16_13.34.47,-8.394601,51.886139,5G,-100,-16,0.0,10,-87,0,0,I
1721,2019.12.16_13.34.48,-8.394601,51.886139,5G,-100,-14,-2.0,10,-87,2,4,D
1722,2019.12.16_13.34.49,-8.394601,51.886139,5G,-100,-14,-2.0,10,-87,0,0,D
1723,2019.12.16_13.34.50,-8.394601,51.886139,5G,-99,-16,-1.0,10,-87,2,4,D
1724,2019.12.16_13.34.51,-8.394601,51.886139,5G,-99,-16,-1.0,10,-87,0,0,D
1725,2019.12.16_13.34.52,-8.394601,51.886139,5G,-100,-12,2.0,10,-87,2,4,D
1726,2019.12.16_13.34.53,-8.394601,51.886139,5G,-100,-12,2.0,11,-84,0,0,D
1727,2019.12.16_13.34.54,-8.394601,51.886139,5G,-100,-11,-1.0,11,-84,0,0,I
1728,2019.12.16_13.34.55,-8.394601,51.886139,5G,-100,-11,-1.0,15,-88,0,0,I
1729,2019.12.16_13.34.56,-8.394601,51.886139,5G,-101,-12,-5.0,15,-88,0,13,D
1730,2019.12.16_13.34.58,-8.394601,51.886139,5G,-101,-12,-5.0,15,-88,28004,139,D
1731,2019.12.16_13.34.59,-8.394601,51.886139,5G,-101,-11,-3.0,15,-88,15,27,D
1732,2019.12.16_13.35.00,-8.394601,51.886139,5G,-101,-11,-3.0,15,-88,0,0,I
1733,2019.12.16_13.35.01,-8.394601,51.886139,5G,-101,-12,-4.0,15,-88,0,0,I
1734,2019.12.16_13.35.02,-8.394601,51.886139,5G,-101,-12,-4.0,15,-88,0,0,I
1735,2019.12.16_13.35.03,-8.394601,51.886139,5G,-100,-10,2.0,15,-88,0,0,I
1736,2019.12.16_13.35.04,-8.394601,51.886139,5G,-100,-10,2.0,15,-88,0,0,I
1737,2019.12.16_13.35.05,-8.394601,51.886139,5G,-100,-15,-4.0,15,-88,0,0,I
1738,2019.12.16_13.35.06,-8.394601,51.886139,5G,-100,-15,-4.0,15,-90,0,0,I
1739,2019.12.16_13.35.07,-8.394601,51.886139,5G,-101,-16,4.0,15,-90,0,0,I
1740,2019.12.16_13.35.08,-8.394601,51.886139,5G,-101,-16,4.0,12,-88,0,0,I
